wss://nostrelay.yeghro.site/,1
wss://21ideas.nostr1.com/,1
wss://relay.saes.io/outbox,1
wss://nos.lol/,192
wss://nostr.rocketnode.space,13
wss://wot.nostr.sats4.life/inbox,2
wss://nostr-relay.derekross.me/,3
wss://relay.n057r.club,14
wss://nostrdevs.nostr1.com/,2
wss://relay.mostro.network/,106
wss://nostr.oxtr.dev/,26
wss://nostr.bitcoiner.social/,52
wss://nostr.fmt.wiz.biz,23
wss://filter.nostr.wine,1
ws://192.168.1.20:8080/,1
wss://relay.lnau.net/,31
wss://nostr.inosta.cc/,4
wss://nostr-01.bolt.observer/,1
wss://21ideas.nostr1.com,1
wss://relay.0xchat.com,23
wss://nostr.t-rg.ws,1
wss://relay.nsec.app,13
ws://localhost:4869/,3
wss://nostr-relay.derekross.me/inbox,3
wss://purplenostrich.com/,1
wss://nostr.wine/,85
wss://nostr.fmt.wiz.biz/,19
wss://nostr.walletofsatoshi.com/,11
ws://nostrproxy.io:7778/,2
wss://relay.nostrich.land/,3
wss://relay.nostrati.com,1
wss://yabu.me,14
wss://purplepag.es,13
wss://wot.azzamo.net/,16
wss://nostr.mom,2
wss://eden.nostr.land,21
wss://atlas.nostr.land/,14
wss://nostrelites.org,3
wss://nostr.h3z.jp/,3
wss://relay.hodl.ar/,2
wss://relay.nostrplebs.com/,14
wss://welcome.nostr.wine/,15
wss://nostr.sectiontwo.org/,2
wss://bevo.nostr1.com/,1
wss://feeds.nostr.band/pics,1
wss://e.nos.lol/,1
wss://no.str.cr/,1
wss://filter.nostr.wine/npub10awzknjg5r5lajnr53438ndcyjylgqsrnrtq5grs495v42qc6awsj45ys7?broadcast=true,1
wss://nostr.kosmos.org/,1
wss://nostr.rocketnode.space/,1
wss://yestr.me/,34
wss://relay.nip05.social/,15
wss://relay.weme.wtf/,21
wss://relay.exit.pub/,9
wss://satsage.xyz,3
wss://relay.momostr.pink/,5
wss://relay.keychat.io,13
wss://relay.poster.place/,63
wss://relay.nos.social,6
wss://relay.primal.net/,13
wss://nostr.massmux.com,13
wss://nostr.gleeze.com,1
wss://relay.noderunners.network/,3
wss://nostr.mutinywallet.com/,5
wss://directory.yabu.me,13
wss://140.f7z.io/,4
wss://rkgk.moe,9
wss://relay.damus.io/,180
wss://wot.utxo.one,19
wss://relay.0xchat.com/,13
wss://relay.kisiel.net.pl,14
wss://sendit.nosflare.com/,4
wss://auth.nostr1.com,9
wss://nostr-relay.derekross.me,13
wss://relay.zone667.com,1
wss://nostr.frennet.xyz/,1
wss://relay.plebstr.com,1
wss://nos.lol,52
wss://filter.nostr.wine/,34
wss://relay.nostr.com.au/,26
wss://relay.nostr.sc,13
wss://wot.girino.org,1
wss://bitcoiner.social/,35
wss://offchain.pub/,24
wss://relay-jp.nostr.wirednet.jp/,2
wss://puravida.nostr.land/,27
wss://wot.swarmstr.com/,16
wss://relay.sovereign-stack.org,13
wss://nostr.lnproxy.org/,1
wss://relay.snort.social/,52
wss://nostr.cahlen.org/,2
wss://nostr.bitcoinist.org,13
wss://nostr.guru/,2
ws://nastyrelay.io:5000/nostrrelay/1,1
wss://wot.nostr.party,1
wss://relay.nostr.or.jp/,2
wss://nostr.land,3
wss://nostr.sectiontwo.org,13
wss://nostr.roundrockbitcoiners.com,13
wss://vitor.nostr1.com/,1
wss://nostr-pub.wellorder.net,3
wss://nostr.1661.io/,1
wss://relay1.nostrchat.io,15
wss://obiurgator.thewhall.com,13
wss://nostr.einundzwanzig.space,13
wss://nostr.milou.lol/,3
wss://relay.nostrgraph.net/,2
wss://frens.utxo.one/,1
wss://lightningrelay.com/,11
wss://relay.dev.bdw.to,13
wss://relay.noderunners.network,3
wss://nostr-paid.h3z.jp/,1
wss://relay.utxo.one/,3
wss://wot.girino.org/,19
wss://pyramid.fiatjaf.com/,3
wss://bostr.bitcointxoko.com/,1
wss://relay.nostrplebs.com:,1
wss://relay.mostr.pub,178
wss://relay.hakua.xyz/,13
ws://umbrel:4848,1
